TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN69938,01-05-2025,6072,SUCCESS,KOT6,Kormangala,Gujarat,CASH,
TXN23937,01-05-2025,6444,SUCCESS,KOT9,Kormangala,Gujarat,CREDIT CARD,
TXN34905,01-05-2025,3298,FAILED,KOT7,Kormangala,Gujarat,CASH,Technical Error
TXN91743,01-05-2025,8605,SUCCESS,KOT8,Kormangala,Gujarat,CASH,
TXN77409,01-05-2025,5989,SUCCESS,KOT6,Kormangala,Gujarat,CASH,
TXN50753,01-05-2025,1780,SUCCESS,KOT9,Kormangala,Gujarat,CREDIT CARD,
TXN44991,01-05-2025,1832,FAILED,KOT1,Kormangala,Gujarat,NEFT,Network Timeout
TXN81722,02-05-2025,3870,SUCCESS,KOT3,Kormangala,Gujarat,DEBIT CARD,
TXN53857,02-05-2025,7961,SUCCESS,KOT6,Kormangala,Gujarat,CREDIT CARD,
TXN71139,02-05-2025,247,SUCCESS,KOT8,Kormangala,Gujarat,DEBIT CARD,
TXN69550,02-05-2025,7924,FAILED,KOT4,Kormangala,Gujarat,CREDIT CARD,Insufficient Funds
TXN13507,02-05-2025,5068,SUCCESS,KOT1,Kormangala,Gujarat,DEBIT CARD,
TXN53291,02-05-2025,3623,SUCCESS,KOT6,Kormangala,Gujarat,CASH,
TXN92678,02-05-2025,6552,SUCCESS,KOT8,Kormangala,Gujarat,CASH,
TXN65959,03-05-2025,3232,SUCCESS,KOT8,Kormangala,Gujarat,CREDIT CARD,
TXN66134,03-05-2025,7709,FAILED,KOT2,Kormangala,Gujarat,NEFT,Insufficient Funds
TXN52316,03-05-2025,4890,SUCCESS,KOT5,Kormangala,Gujarat,NEFT,
TXN23763,03-05-2025,8184,SUCCESS,KOT1,Kormangala,Gujarat,CREDIT CARD,
TXN80672,03-05-2025,2753,SUCCESS,KOT6,Kormangala,Gujarat,CREDIT CARD,
TXN23228,03-05-2025,793,SUCCESS,KOT3,Kormangala,Gujarat,CASH,
TXN83901,03-05-2025,5953,SUCCESS,KOT7,Kormangala,Gujarat,CREDIT CARD,
TXN20948,04-05-2025,4789,FAILED,KOT5,Kormangala,Gujarat,CREDIT CARD,Account Blocked
TXN44739,04-05-2025,9583,SUCCESS,KOT1,Kormangala,Gujarat,CREDIT CARD,
TXN84630,04-05-2025,3206,FAILED,KOT2,Kormangala,Gujarat,DEBIT CARD,Invalid Account Number
TXN57039,04-05-2025,9256,FAILED,KOT4,Kormangala,Gujarat,CREDIT CARD,Insufficient Funds
TXN77063,04-05-2025,9301,SUCCESS,KOT7,Kormangala,Gujarat,CREDIT CARD,
TXN36057,04-05-2025,8937,SUCCESS,KOT5,Kormangala,Gujarat,NEFT,
TXN53449,04-05-2025,8257,SUCCESS,KOT8,Kormangala,Gujarat,CASH,
TXN23225,05-05-2025,7635,FAILED,KOT6,Kormangala,Gujarat,CASH,Exceeded Limit
TXN36131,05-05-2025,7698,SUCCESS,KOT4,Kormangala,Gujarat,CASH,
TXN19602,05-05-2025,3873,SUCCESS,KOT3,Kormangala,Gujarat,NEFT,
TXN62801,05-05-2025,7647,SUCCESS,KOT2,Kormangala,Gujarat,CASH,
TXN95993,05-05-2025,1675,FAILED,KOT1,Kormangala,Gujarat,DEBIT CARD,Exceeded Limit
TXN84343,05-05-2025,3922,SUCCESS,KOT4,Kormangala,Gujarat,CASH,
TXN20007,05-05-2025,5133,FAILED,KOT6,Kormangala,Gujarat,CASH,Exceeded Limit
TXN21424,06-05-2025,4926,SUCCESS,KOT5,Kormangala,Gujarat,CREDIT CARD,
TXN84561,06-05-2025,4818,SUCCESS,KOT9,Kormangala,Gujarat,DEBIT CARD,
TXN70496,06-05-2025,7508,SUCCESS,KOT4,Kormangala,Gujarat,CREDIT CARD,
TXN50301,06-05-2025,8967,SUCCESS,KOT7,Kormangala,Gujarat,NEFT,
TXN12300,06-05-2025,6297,SUCCESS,KOT9,Kormangala,Gujarat,CREDIT CARD,
TXN18096,06-05-2025,1935,SUCCESS,KOT3,Kormangala,Gujarat,CASH,
TXN18803,06-05-2025,8944,SUCCESS,KOT5,Kormangala,Gujarat,DEBIT CARD,
TXN43317,07-05-2025,8537,FAILED,KOT6,Kormangala,Gujarat,DEBIT CARD,Exceeded Limit
TXN17615,07-05-2025,9353,SUCCESS,KOT9,Kormangala,Gujarat,DEBIT CARD,
TXN39041,07-05-2025,5266,SUCCESS,KOT6,Kormangala,Gujarat,CREDIT CARD,
TXN87524,07-05-2025,1256,FAILED,KOT9,Kormangala,Gujarat,CASH,Invalid Account Number
TXN87552,07-05-2025,8671,FAILED,KOT2,Kormangala,Gujarat,CREDIT CARD,Invalid Account Number
TXN51984,07-05-2025,5905,SUCCESS,KOT4,Kormangala,Gujarat,NEFT,
TXN31753,07-05-2025,1094,FAILED,KOT6,Kormangala,Gujarat,CASH,Network Timeout
