TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN21893,01-05-2025,7569,SUCCESS,T N1,Tadipatri,Hyderabad,CREDIT CARD,
TXN42466,01-05-2025,225,SUCCESS,T N5,Tadipatri,Hyderabad,DEBIT CARD,
TXN18864,01-05-2025,3280,FAILED,T N8,Tadipatri,Hyderabad,CASH,Network Timeout
TXN79136,01-05-2025,7255,FAILED,T N7,Tadipatri,Hyderabad,CASH,Insufficient Funds
TXN36679,01-05-2025,3642,FAILED,T N9,Tadipatri,Hyderabad,CASH,Invalid Account Number
TXN98970,01-05-2025,7224,SUCCESS,T N9,Tadipatri,Hyderabad,DEBIT CARD,
TXN42314,01-05-2025,6419,SUCCESS,T N9,Tadipatri,Hyderabad,NEFT,
TXN74151,02-05-2025,1378,SUCCESS,T N6,Tadipatri,Hyderabad,DEBIT CARD,
TXN89807,02-05-2025,6377,SUCCESS,T N4,Tadipatri,Hyderabad,NEFT,
TXN22817,02-05-2025,7535,SUCCESS,T N7,Tadipatri,Hyderabad,DEBIT CARD,
TXN64029,02-05-2025,1357,FAILED,T N2,Tadipatri,Hyderabad,CASH,Account Blocked
TXN68107,02-05-2025,980,SUCCESS,T N8,Tadipatri,Hyderabad,DEBIT CARD,
TXN51475,02-05-2025,4552,SUCCESS,T N4,Tadipatri,Hyderabad,NEFT,
TXN26930,02-05-2025,1899,SUCCESS,T N4,Tadipatri,Hyderabad,CREDIT CARD,
TXN14966,03-05-2025,2036,FAILED,T N2,Tadipatri,Hyderabad,DEBIT CARD,Account Blocked
TXN21433,03-05-2025,1147,SUCCESS,T N6,Tadipatri,Hyderabad,NEFT,
TXN59259,03-05-2025,5315,SUCCESS,T N5,Tadipatri,Hyderabad,DEBIT CARD,
TXN52793,03-05-2025,2647,SUCCESS,T N4,Tadipatri,Hyderabad,DEBIT CARD,
TXN41948,03-05-2025,3656,FAILED,T N8,Tadipatri,Hyderabad,CREDIT CARD,Exceeded Limit
TXN77975,03-05-2025,829,SUCCESS,T N8,Tadipatri,Hyderabad,CASH,
TXN66639,03-05-2025,5675,SUCCESS,T N5,Tadipatri,Hyderabad,DEBIT CARD,
TXN17874,04-05-2025,6878,SUCCESS,T N5,Tadipatri,Hyderabad,DEBIT CARD,
TXN17573,04-05-2025,2845,SUCCESS,T N4,Tadipatri,Hyderabad,CREDIT CARD,
TXN55869,04-05-2025,6616,SUCCESS,T N5,Tadipatri,Hyderabad,NEFT,
TXN44553,04-05-2025,242,SUCCESS,T N2,Tadipatri,Hyderabad,NEFT,
TXN81473,04-05-2025,7478,FAILED,T N6,Tadipatri,Hyderabad,DEBIT CARD,Exceeded Limit
TXN75764,04-05-2025,4804,SUCCESS,T N2,Tadipatri,Hyderabad,NEFT,
TXN58425,04-05-2025,1039,SUCCESS,T N5,Tadipatri,Hyderabad,DEBIT CARD,
TXN63422,05-05-2025,2894,FAILED,T N5,Tadipatri,Hyderabad,DEBIT CARD,Network Timeout
TXN30469,05-05-2025,627,FAILED,T N8,Tadipatri,Hyderabad,DEBIT CARD,Exceeded Limit
TXN93030,05-05-2025,8626,SUCCESS,T N3,Tadipatri,Hyderabad,DEBIT CARD,
TXN11843,05-05-2025,4403,FAILED,T N9,Tadipatri,Hyderabad,CASH,Exceeded Limit
TXN56274,05-05-2025,8546,FAILED,T N2,Tadipatri,Hyderabad,CREDIT CARD,Insufficient Funds
TXN71209,05-05-2025,213,SUCCESS,T N2,Tadipatri,Hyderabad,NEFT,
TXN60822,05-05-2025,8552,SUCCESS,T N2,Tadipatri,Hyderabad,CREDIT CARD,
TXN78999,06-05-2025,5129,SUCCESS,T N4,Tadipatri,Hyderabad,DEBIT CARD,
TXN91855,06-05-2025,8683,FAILED,T N7,Tadipatri,Hyderabad,DEBIT CARD,Exceeded Limit
TXN83648,06-05-2025,667,FAILED,T N1,Tadipatri,Hyderabad,NEFT,Insufficient Funds
TXN23196,06-05-2025,6794,SUCCESS,T N1,Tadipatri,Hyderabad,DEBIT CARD,
TXN81644,06-05-2025,7335,FAILED,T N7,Tadipatri,Hyderabad,DEBIT CARD,Insufficient Funds
TXN90303,06-05-2025,1339,SUCCESS,T N6,Tadipatri,Hyderabad,DEBIT CARD,
TXN63865,06-05-2025,3876,SUCCESS,T N9,Tadipatri,Hyderabad,CREDIT CARD,
TXN16844,07-05-2025,9321,FAILED,T N3,Tadipatri,Hyderabad,CREDIT CARD,Account Blocked
TXN11325,07-05-2025,9178,SUCCESS,T N9,Tadipatri,Hyderabad,DEBIT CARD,
TXN33331,07-05-2025,9797,FAILED,T N4,Tadipatri,Hyderabad,NEFT,Exceeded Limit
TXN83641,07-05-2025,5428,SUCCESS,T N1,Tadipatri,Hyderabad,CASH,
TXN61441,07-05-2025,3012,SUCCESS,T N5,Tadipatri,Hyderabad,DEBIT CARD,
TXN18362,07-05-2025,8553,FAILED,T N4,Tadipatri,Hyderabad,CASH,Technical Error
TXN73092,07-05-2025,8451,SUCCESS,T N9,Tadipatri,Hyderabad,DEBIT CARD,
