TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN17152,01-05-2025,2402,FAILED,MG 2,Malkaagiri,Vizag,NEFT,Insufficient Funds
TXN78029,01-05-2025,8417,FAILED,MG 9,Malkaagiri,Vizag,CASH,Network Timeout
TXN87024,01-05-2025,6558,SUCCESS,MG 8,Malkaagiri,Vizag,CREDIT CARD,
TXN42793,01-05-2025,8468,SUCCESS,MG 7,Malkaagiri,Vizag,DEBIT CARD,
TXN96937,01-05-2025,894,SUCCESS,MG 1,Malkaagiri,Vizag,NEFT,
TXN23467,01-05-2025,5683,FAILED,MG 2,Malkaagiri,Vizag,CREDIT CARD,Network Timeout
TXN86131,01-05-2025,4199,SUCCESS,MG 5,Malkaagiri,Vizag,CREDIT CARD,
TXN21236,02-05-2025,1451,SUCCESS,MG 1,Malkaagiri,Vizag,DEBIT CARD,
TXN18104,02-05-2025,9927,SUCCESS,MG 6,Malkaagiri,Vizag,CREDIT CARD,
TXN39227,02-05-2025,6714,SUCCESS,MG 9,Malkaagiri,Vizag,CREDIT CARD,
TXN90186,02-05-2025,8960,SUCCESS,MG 6,Malkaagiri,Vizag,CREDIT CARD,
TXN23726,02-05-2025,5523,FAILED,MG 6,Malkaagiri,Vizag,CREDIT CARD,Insufficient Funds
TXN72774,02-05-2025,7158,FAILED,MG 5,Malkaagiri,Vizag,CASH,Invalid Account Number
TXN44004,02-05-2025,3634,FAILED,MG 7,Malkaagiri,Vizag,CREDIT CARD,Invalid Account Number
TXN32728,03-05-2025,529,SUCCESS,MG 6,Malkaagiri,Vizag,CASH,
TXN30117,03-05-2025,6540,SUCCESS,MG 1,Malkaagiri,Vizag,DEBIT CARD,
TXN79544,03-05-2025,3771,SUCCESS,MG 9,Malkaagiri,Vizag,CREDIT CARD,
TXN83979,03-05-2025,546,SUCCESS,MG 7,Malkaagiri,Vizag,NEFT,
TXN71011,03-05-2025,7774,SUCCESS,MG 4,Malkaagiri,Vizag,NEFT,
TXN84459,03-05-2025,6025,SUCCESS,MG 2,Malkaagiri,Vizag,NEFT,
TXN95120,03-05-2025,3427,SUCCESS,MG 6,Malkaagiri,Vizag,DEBIT CARD,
TXN58855,04-05-2025,9199,SUCCESS,MG 9,Malkaagiri,Vizag,DEBIT CARD,
TXN96354,04-05-2025,5781,SUCCESS,MG 7,Malkaagiri,Vizag,DEBIT CARD,
TXN86454,04-05-2025,4727,SUCCESS,MG 3,Malkaagiri,Vizag,NEFT,
TXN10231,04-05-2025,7591,SUCCESS,MG 5,Malkaagiri,Vizag,CREDIT CARD,
TXN48700,04-05-2025,7855,SUCCESS,MG 6,Malkaagiri,Vizag,CREDIT CARD,
TXN97223,04-05-2025,7172,SUCCESS,MG 7,Malkaagiri,Vizag,NEFT,
TXN45521,04-05-2025,2062,FAILED,MG 2,Malkaagiri,Vizag,CREDIT CARD,Invalid Account Number
TXN64791,05-05-2025,4023,FAILED,MG 3,Malkaagiri,Vizag,CREDIT CARD,Invalid Account Number
TXN29540,05-05-2025,2712,SUCCESS,MG 2,Malkaagiri,Vizag,CASH,
TXN33840,05-05-2025,6092,SUCCESS,MG 5,Malkaagiri,Vizag,DEBIT CARD,
TXN30384,05-05-2025,5977,SUCCESS,MG 8,Malkaagiri,Vizag,CASH,
TXN49179,05-05-2025,3237,SUCCESS,MG 4,Malkaagiri,Vizag,CREDIT CARD,
TXN27803,05-05-2025,8225,SUCCESS,MG 9,Malkaagiri,Vizag,DEBIT CARD,
TXN14377,05-05-2025,7250,SUCCESS,MG 8,Malkaagiri,Vizag,NEFT,
TXN11000,06-05-2025,1229,SUCCESS,MG 7,Malkaagiri,Vizag,CREDIT CARD,
TXN72917,06-05-2025,1170,SUCCESS,MG 2,Malkaagiri,Vizag,NEFT,
TXN26981,06-05-2025,5684,FAILED,MG 8,Malkaagiri,Vizag,CASH,Technical Error
TXN99398,06-05-2025,708,SUCCESS,MG 1,Malkaagiri,Vizag,CASH,
TXN99987,06-05-2025,7088,FAILED,MG 4,Malkaagiri,Vizag,DEBIT CARD,Account Blocked
TXN62499,06-05-2025,630,SUCCESS,MG 3,Malkaagiri,Vizag,DEBIT CARD,
TXN57083,06-05-2025,7160,FAILED,MG 5,Malkaagiri,Vizag,DEBIT CARD,Insufficient Funds
TXN38488,07-05-2025,9794,FAILED,MG 4,Malkaagiri,Vizag,CREDIT CARD,Technical Error
TXN28573,07-05-2025,8550,SUCCESS,MG 5,Malkaagiri,Vizag,CASH,
TXN33834,07-05-2025,5298,SUCCESS,MG 6,Malkaagiri,Vizag,CASH,
TXN54540,07-05-2025,8473,SUCCESS,MG 8,Malkaagiri,Vizag,NEFT,
TXN74945,07-05-2025,1478,SUCCESS,MG 5,Malkaagiri,Vizag,DEBIT CARD,
TXN54753,07-05-2025,4263,SUCCESS,MG 9,Malkaagiri,Vizag,CREDIT CARD,
TXN79143,07-05-2025,6825,SUCCESS,MG 9,Malkaagiri,Vizag,DEBIT CARD,
