TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN36643,2025-05-05,2401,SUCCESS,VIM6,VijayPur,Gujarat,NEFT,""
TXN44991,2025-05-01,1832,FAILED,KOT1,Kormangala,Gujarat,NEFT,Network Timeout
TXN91096,2025-05-05,3684,SUCCESS,HAD5,HimayatNagar,Gujarat,NEFT,""
TXN35706,2025-05-05,3766,FAILED,VIM2,VijayPur,Gujarat,CREDIT CARD,Account Blocked
TXN24353,2025-05-01,140,FAILED,HAD5,HimayatNagar,Gujarat,CASH,Exceeded Limit
TXN85959,2025-05-03,7115,FAILED,VEL2,Vilaspur,Hyderabad,CASH,Account Blocked
TXN79136,2025-05-01,7255,FAILED,T N7,Tadipatri,Hyderabad,CASH,Insufficient Funds
TXN31061,2025-05-03,1914,SUCCESS,TAM9,Tanuku,Hyderabad,CASH,""
TXN10197,2025-05-01,6827,SUCCESS,ANN5,Annavaram,Hyderabad,CASH,""
TXN51480,2025-05-03,6644,FAILED,ANN1,Annavaram,Hyderabad,NEFT,Technical Error
TXN70732,2025-05-07,6496,FAILED,HAD6,HimayatNagar,Gujarat,NEFT,Invalid Account Number
TXN91855,2025-05-06,8683,FAILED,T N7,Tadipatri,Hyderabad,DEBIT CARD,Exceeded Limit
TXN32467,2025-05-04,4778,SUCCESS,TAM9,Tanuku,Hyderabad,CREDIT CARD,""
TXN33331,2025-05-07,9797,FAILED,T N4,Tadipatri,Hyderabad,NEFT,Exceeded Limit
TXN54208,2025-05-03,1061,FAILED,VIM3,VijayPur,Gujarat,CREDIT CARD,Account Blocked
TXN70496,2025-05-06,7508,SUCCESS,KOT4,Kormangala,Gujarat,CREDIT CARD,""
TXN50753,2025-05-01,1780,SUCCESS,KOT9,Kormangala,Gujarat,CREDIT CARD,""
TXN55814,2025-05-02,6859,SUCCESS,HAD3,HimayatNagar,Gujarat,CASH,""
TXN78747,2025-05-05,2641,SUCCESS,TAM8,Tanuku,Hyderabad,CASH,""
TXN75822,2025-05-01,9905,FAILED,VIM5,VijayPur,Gujarat,NEFT,Network Timeout
TXN80251,2025-05-06,7381,FAILED,TAM1,Tanuku,Hyderabad,CREDIT CARD,Technical Error
TXN45228,2025-05-06,6046,SUCCESS,ANN5,Annavaram,Hyderabad,DEBIT CARD,""
TXN11531,2025-05-01,1968,SUCCESS,VIM4,VijayPur,Gujarat,DEBIT CARD,""
TXN24641,2025-05-06,1678,SUCCESS,HAD9,HimayatNagar,Gujarat,CASH,""
TXN74151,2025-05-02,1378,SUCCESS,T N6,Tadipatri,Hyderabad,DEBIT CARD,""
TXN46628,2025-05-06,903,FAILED,ANN7,Annavaram,Hyderabad,CASH,Insufficient Funds
TXN87429,2025-05-05,871,FAILED,ANN9,Annavaram,Hyderabad,CREDIT CARD,Insufficient Funds
TXN92332,2025-05-07,7829,SUCCESS,VEL8,Vilaspur,Hyderabad,CREDIT CARD,""
TXN82754,2025-05-01,5604,SUCCESS,VIM8,Bharat Nagar,Gujarat,DEBIT CARD,""
TXN40609,2025-05-07,4745,SUCCESS,VIM9,Bharat Nagar,Gujarat,DEBIT CARD,""
TXN44571,2025-05-02,7116,FAILED,ANN8,Annavaram,Hyderabad,DEBIT CARD,Exceeded Limit
TXN82572,2025-05-02,474,FAILED,VIM7,Bharat Nagar,Gujarat,CREDIT CARD,Invalid Account Number
TXN88773,2025-05-06,485,SUCCESS,VIM8,Bharat Nagar,Gujarat,CREDIT CARD,""
TXN52331,2025-05-03,3877,SUCCESS,VEL6,Vilaspur,Hyderabad,CASH,""
TXN18864,2025-05-01,3280,FAILED,T N8,Tadipatri,Hyderabad,CASH,Network Timeout
TXN18803,2025-05-06,8944,SUCCESS,KOT5,Kormangala,Gujarat,DEBIT CARD,""
TXN83305,2025-05-06,8887,SUCCESS,HAD6,HimayatNagar,Gujarat,CASH,""
TXN47998,2025-05-06,7061,SUCCESS,HAD2,HimayatNagar,Gujarat,DEBIT CARD,""
