TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN26477,2025-05-07,5942,FAILED,HIN2,HRNagar,Gujarat,DEBIT CARD,Invalid Account Number
TXN28144,2025-05-01,2060,FAILED,IND2,AnadNagar,Vizag,NEFT,Technical Error
TXN94421,2025-05-03,190,FAILED,BTM8,Bhimavaram,Vizag,CASH,Network Timeout
TXN23225,2025-05-05,7635,FAILED,KOT6,Komatla,Vizag,CASH,Exceeded Limit
TXN78064,2025-05-02,4719,FAILED,KOR8,Kakinada,Vizag,DEBIT CARD,Account Blocked
TXN67092,2025-05-07,4742,FAILED,BTM6,Bhimavaram,Vizag,CASH,Technical Error
TXN57039,2025-05-04,9256,FAILED,KOT4,Komatla,Vizag,CREDIT CARD,Insufficient Funds
TXN88021,2025-05-02,3978,FAILED,KOR2,Kakinada,Vizag,CASH,Invalid Account Number
TXN66134,2025-05-03,7709,FAILED,KOT2,Komatla,Vizag,NEFT,Insufficient Funds
TXN57083,2025-05-06,7160,FAILED,MG 5,Malkaagiri,Vizag,DEBIT CARD,Insufficient Funds
TXN89423,2025-05-03,8636,FAILED,ADY3,Alwal,Hyderabad,DEBIT CARD,Technical Error
TXN34098,2025-05-03,4433,FAILED,BTM2,Bhimavaram,Vizag,DEBIT CARD,Exceeded Limit
TXN76415,2025-05-05,5414,FAILED,BTM5,Bhimavaram,Vizag,CASH,Invalid Account Number
TXN60120,2025-05-02,664,FAILED,HIN3,HRNagar,Gujarat,CASH,Account Blocked
TXN12298,2025-05-03,1897,FAILED,IND8,AnadNagar,Vizag,DEBIT CARD,Exceeded Limit
TXN78029,2025-05-01,8417,FAILED,MG 9,Malkaagiri,Vizag,CASH,Network Timeout
TXN77129,2025-05-04,1263,FAILED,KOR4,Kakinada,Vizag,NEFT,Exceeded Limit
TXN62153,2025-05-04,1762,FAILED,KOR4,Kakinada,Vizag,CREDIT CARD,Network Timeout
TXN24819,2025-05-04,9066,FAILED,KOR6,Kakinada,Vizag,CREDIT CARD,Invalid Account Number
TXN40597,2025-05-05,2080,FAILED,ADY1,Alwal,Hyderabad,NEFT,Invalid Account Number
TXN39846,2025-05-05,9667,FAILED,HIN1,HRNagar,Gujarat,NEFT,Invalid Account Number
TXN44004,2025-05-02,3634,FAILED,MG 7,Malkaagiri,Vizag,CREDIT CARD,Invalid Account Number
TXN23557,2025-05-03,2019,FAILED,ADY8,Alwal,Hyderabad,CREDIT CARD,Insufficient Funds
TXN96931,2025-05-07,4786,FAILED,KOR1,Kakinada,Vizag,NEFT,Network Timeout
TXN28345,2025-05-02,3414,FAILED,IND7,AnadNagar,Vizag,DEBIT CARD,Network Timeout
TXN20948,2025-05-04,4789,FAILED,KOT5,Komatla,Vizag,CREDIT CARD,Account Blocked
TXN40453,2025-05-04,6446,FAILED,HIN4,HRNagar,Gujarat,CASH,Network Timeout
TXN32528,2025-05-05,2916,FAILED,ADY8,Alwal,Hyderabad,CASH,Invalid Account Number
TXN73500,2025-05-04,2245,FAILED,ADY3,Alwal,Hyderabad,NEFT,Insufficient Funds
TXN68253,2025-05-01,5798,FAILED,ADY3,Alwal,Hyderabad,NEFT,Invalid Account Number
TXN99987,2025-05-06,7088,FAILED,MG 4,Malkaagiri,Vizag,DEBIT CARD,Account Blocked
TXN52001,2025-05-05,5833,FAILED,BTM8,Bhimavaram,Vizag,CASH,Exceeded Limit
TXN34905,2025-05-01,3298,FAILED,KOT7,Komatla,Vizag,CASH,Technical Error
TXN19825,2025-05-05,3033,FAILED,ADY3,Alwal,Hyderabad,CASH,Account Blocked
TXN34105,2025-05-01,9731,FAILED,KOR5,Kakinada,Vizag,NEFT,Invalid Account Number
TXN84646,2025-05-06,6764,FAILED,TAM7,Tanuku,Hyderabad,NEFT,Insufficient Funds
TXN78413,2025-05-06,6795,FAILED,VIM1,VijayPur,Gujarat,CREDIT CARD,Exceeded Limit
TXN25359,2025-05-05,8531,FAILED,TAM6,Tanuku,Hyderabad,NEFT,Insufficient Funds
TXN55692,2025-05-03,3118,FAILED,VIM6,Bharat Nagar,Gujarat,DEBIT CARD,Technical Error
TXN84798,2025-05-06,9586,FAILED,VIM6,VijayPur,Gujarat,CREDIT CARD,Technical Error
TXN72271,2025-05-02,914,FAILED,VEL8,Vilaspur,Hyderabad,CASH,Account Blocked
TXN56274,2025-05-05,8546,FAILED,T N2,Tadipatri,Hyderabad,CREDIT CARD,Insufficient Funds
TXN93651,2025-05-01,2331,FAILED,ANN6,Annavaram,Hyderabad,DEBIT CARD,Technical Error
TXN35889,2025-05-02,7739,FAILED,ANN4,Annavaram,Hyderabad,DEBIT CARD,Account Blocked
TXN64029,2025-05-02,1357,FAILED,T N2,Tadipatri,Hyderabad,CASH,Account Blocked
TXN66859,2025-05-02,6167,FAILED,VIM4,Bharat Nagar,Gujarat,DEBIT CARD,Invalid Account Number
TXN99061,2025-05-03,2607,FAILED,VIM1,VijayPur,Gujarat,CREDIT CARD,Exceeded Limit
TXN66134,2025-05-03,7709,FAILED,KOT2,Kormangala,Gujarat,NEFT,Insufficient Funds
TXN71109,2025-05-01,473,FAILED,TAM9,Tanuku,Hyderabad,CASH,Exceeded Limit
TXN35706,2025-05-05,3766,FAILED,VIM2,Bharat Nagar,Gujarat,CREDIT CARD,Account Blocked
TXN30469,2025-05-05,627,FAILED,T N8,Tadipatri,Hyderabad,DEBIT CARD,Exceeded Limit
TXN63422,2025-05-05,2894,FAILED,T N5,Tadipatri,Hyderabad,DEBIT CARD,Network Timeout
TXN13813,2025-05-01,4497,FAILED,VIM4,Bharat Nagar,Gujarat,CREDIT CARD,Invalid Account Number
TXN62968,2025-05-07,3872,FAILED,HAD2,HimayatNagar,Gujarat,NEFT,Insufficient Funds
TXN15056,2025-05-05,887,FAILED,VIM2,Bharat Nagar,Gujarat,CREDIT CARD,Insufficient Funds
TXN16499,2025-05-04,4772,FAILED,VEL8,Vilaspur,Hyderabad,DEBIT CARD,Insufficient Funds
TXN81473,2025-05-04,7478,FAILED,T N6,Tadipatri,Hyderabad,DEBIT CARD,Exceeded Limit
TXN76258,2025-05-01,4230,FAILED,TAM2,Tanuku,Hyderabad,CREDIT CARD,Account Blocked
TXN54208,2025-05-03,1061,FAILED,VIM3,Bharat Nagar,Gujarat,CREDIT CARD,Account Blocked
TXN63880,2025-05-05,6690,FAILED,HAD4,HimayatNagar,Gujarat,CREDIT CARD,Exceeded Limit
TXN46054,2025-05-03,6549,FAILED,TAM4,Tanuku,Hyderabad,CREDIT CARD,Technical Error
TXN36679,2025-05-01,3642,FAILED,T N9,Tadipatri,Hyderabad,CASH,Invalid Account Number
TXN16844,2025-05-07,9321,FAILED,T N3,Tadipatri,Hyderabad,CREDIT CARD,Account Blocked
TXN56339,2025-05-07,3344,FAILED,ANN5,Annavaram,Hyderabad,DEBIT CARD,Network Timeout
TXN91001,2025-05-01,8631,FAILED,VIM3,VijayPur,Gujarat,CREDIT CARD,Network Timeout
TXN18362,2025-05-07,8553,FAILED,T N4,Tadipatri,Hyderabad,CASH,Technical Error
TXN82223,2025-05-07,6902,FAILED,ANN6,Annavaram,Hyderabad,DEBIT CARD,Account Blocked
TXN69550,2025-05-02,7924,FAILED,KOT4,Kormangala,Gujarat,CREDIT CARD,Insufficient Funds
TXN66394,2025-05-03,1595,FAILED,ANN4,Annavaram,Hyderabad,CASH,Account Blocked
TXN76849,2025-05-01,9705,FAILED,ANN4,Annavaram,Hyderabad,CREDIT CARD,Network Timeout
TXN91001,2025-05-01,8631,FAILED,VIM3,Bharat Nagar,Gujarat,CREDIT CARD,Network Timeout
TXN84798,2025-05-06,9586,FAILED,VIM6,Bharat Nagar,Gujarat,CREDIT CARD,Technical Error
TXN84630,2025-05-04,3206,FAILED,KOT2,Kormangala,Gujarat,DEBIT CARD,Invalid Account Number
TXN99061,2025-05-03,2607,FAILED,VIM1,Bharat Nagar,Gujarat,CREDIT CARD,Exceeded Limit
TXN37247,2025-05-05,7303,FAILED,HAD8,HimayatNagar,Gujarat,DEBIT CARD,Invalid Account Number
TXN48048,2025-05-05,8153,FAILED,HAD5,HimayatNagar,Gujarat,CASH,Network Timeout
