TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
2,2025-05-07,5942,FAILED,HIN2,HRNagar,Gujarat,DEBIT CARD,Invalid Account Number
3,2025-05-01,2060,FAILED,IND2,AnadNagar,Vizag,NEFT,Technical Error
4,2025-05-03,190,FAILED,BTM8,Bhimavaram,Vizag,CASH,Network Timeout
5,2025-05-05,7635,FAILED,KOT6,Komatla,Vizag,CASH,Exceeded Limit
6,2025-05-02,4719,FAILED,KOR8,Kakinada,Vizag,DEBIT CARD,Account Blocked
7,2025-05-07,4742,FAILED,BTM6,Bhimavaram,Vizag,CASH,Technical Error
8,2025-05-04,9256,FAILED,KOT4,Komatla,Vizag,CREDIT CARD,Insufficient Funds
9,2025-05-02,3978,FAILED,KOR2,Kakinada,Vizag,CASH,Invalid Account Number
10,2025-05-03,7709,FAILED,KOT2,Komatla,Vizag,NEFT,Insufficient Funds
11,2025-05-06,7160,FAILED,MG 5,Malkaagiri,Vizag,DEBIT CARD,Insufficient Funds
12,2025-05-03,8636,FAILED,ADY3,Alwal,Hyderabad,DEBIT CARD,Technical Error
13,2025-05-03,4433,FAILED,BTM2,Bhimavaram,Vizag,DEBIT CARD,Exceeded Limit
14,2025-05-05,5414,FAILED,BTM5,Bhimavaram,Vizag,CASH,Invalid Account Number
15,2025-05-02,664,FAILED,HIN3,HRNagar,Gujarat,CASH,Account Blocked
16,2025-05-03,1897,FAILED,IND8,AnadNagar,Vizag,DEBIT CARD,Exceeded Limit
17,2025-05-01,8417,FAILED,MG 9,Malkaagiri,Vizag,CASH,Network Timeout
18,2025-05-04,1263,FAILED,KOR4,Kakinada,Vizag,NEFT,Exceeded Limit
19,2025-05-04,1762,FAILED,KOR4,Kakinada,Vizag,CREDIT CARD,Network Timeout
20,2025-05-04,9066,FAILED,KOR6,Kakinada,Vizag,CREDIT CARD,Invalid Account Number
21,2025-05-05,2080,FAILED,ADY1,Alwal,Hyderabad,NEFT,Invalid Account Number
22,2025-05-05,9667,FAILED,HIN1,HRNagar,Gujarat,NEFT,Invalid Account Number
23,2025-05-02,3634,FAILED,MG 7,Malkaagiri,Vizag,CREDIT CARD,Invalid Account Number
24,2025-05-03,2019,FAILED,ADY8,Alwal,Hyderabad,CREDIT CARD,Insufficient Funds
25,2025-05-07,4786,FAILED,KOR1,Kakinada,Vizag,NEFT,Network Timeout
26,2025-05-02,3414,FAILED,IND7,AnadNagar,Vizag,DEBIT CARD,Network Timeout
27,2025-05-04,4789,FAILED,KOT5,Komatla,Vizag,CREDIT CARD,Account Blocked
28,2025-05-04,6446,FAILED,HIN4,HRNagar,Gujarat,CASH,Network Timeout
29,2025-05-05,2916,FAILED,ADY8,Alwal,Hyderabad,CASH,Invalid Account Number
30,2025-05-04,2245,FAILED,ADY3,Alwal,Hyderabad,NEFT,Insufficient Funds
31,2025-05-01,5798,FAILED,ADY3,Alwal,Hyderabad,NEFT,Invalid Account Number
32,2025-05-06,7088,FAILED,MG 4,Malkaagiri,Vizag,DEBIT CARD,Account Blocked
33,2025-05-05,5833,FAILED,BTM8,Bhimavaram,Vizag,CASH,Exceeded Limit
34,2025-05-01,3298,FAILED,KOT7,Komatla,Vizag,CASH,Technical Error
35,2025-05-05,3033,FAILED,ADY3,Alwal,Hyderabad,CASH,Account Blocked
36,2025-05-01,9731,FAILED,KOR5,Kakinada,Vizag,NEFT,Invalid Account Number
37,2025-05-06,6764,FAILED,TAM7,Tanuku,Hyderabad,NEFT,Insufficient Funds
38,2025-05-06,6795,FAILED,VIM1,VijayPur,Gujarat,CREDIT CARD,Exceeded Limit
39,2025-05-05,8531,FAILED,TAM6,Tanuku,Hyderabad,NEFT,Insufficient Funds
40,2025-05-03,3118,FAILED,VIM6,Bharat Nagar,Gujarat,DEBIT CARD,Technical Error
41,2025-05-06,9586,FAILED,VIM6,VijayPur,Gujarat,CREDIT CARD,Technical Error
42,2025-05-02,914,FAILED,VEL8,Vilaspur,Hyderabad,CASH,Account Blocked
43,2025-05-05,8546,FAILED,T N2,Tadipatri,Hyderabad,CREDIT CARD,Insufficient Funds
44,2025-05-01,2331,FAILED,ANN6,Annavaram,Hyderabad,DEBIT CARD,Technical Error
45,2025-05-02,7739,FAILED,ANN4,Annavaram,Hyderabad,DEBIT CARD,Account Blocked
46,2025-05-02,1357,FAILED,T N2,Tadipatri,Hyderabad,CASH,Account Blocked
47,2025-05-02,6167,FAILED,VIM4,Bharat Nagar,Gujarat,DEBIT CARD,Invalid Account Number
48,2025-05-03,2607,FAILED,VIM1,VijayPur,Gujarat,CREDIT CARD,Exceeded Limit
49,2025-05-03,7709,FAILED,KOT2,Kormangala,Gujarat,NEFT,Insufficient Funds
50,2025-05-01,473,FAILED,TAM9,Tanuku,Hyderabad,CASH,Exceeded Limit
51,2025-05-05,3766,FAILED,VIM2,Bharat Nagar,Gujarat,CREDIT CARD,Account Blocked
52,2025-05-05,627,FAILED,T N8,Tadipatri,Hyderabad,DEBIT CARD,Exceeded Limit
53,2025-05-05,2894,FAILED,T N5,Tadipatri,Hyderabad,DEBIT CARD,Network Timeout
54,2025-05-01,4497,FAILED,VIM4,Bharat Nagar,Gujarat,CREDIT CARD,Invalid Account Number
55,2025-05-07,3872,FAILED,HAD2,HimayatNagar,Gujarat,NEFT,Insufficient Funds
56,2025-05-05,887,FAILED,VIM2,Bharat Nagar,Gujarat,CREDIT CARD,Insufficient Funds
57,2025-05-04,4772,FAILED,VEL8,Vilaspur,Hyderabad,DEBIT CARD,Insufficient Funds
58,2025-05-04,7478,FAILED,T N6,Tadipatri,Hyderabad,DEBIT CARD,Exceeded Limit
59,2025-05-01,4230,FAILED,TAM2,Tanuku,Hyderabad,CREDIT CARD,Account Blocked
60,2025-05-03,1061,FAILED,VIM3,Bharat Nagar,Gujarat,CREDIT CARD,Account Blocked
