TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN90252,01-05-2025,4932,SUCCESS,HIN3,HRNagar,Gujarat,CREDIT CARD,
TXN38290,01-05-2025,6711,SUCCESS,HIN2,HRNagar,Gujarat,CREDIT CARD,
TXN65474,01-05-2025,4405,SUCCESS,HIN6,HRNagar,Gujarat,NEFT,
TXN72119,01-05-2025,9130,SUCCESS,HIN2,HRNagar,Gujarat,NEFT,
TXN37828,01-05-2025,2071,FAILED,HIN5,HRNagar,Gujarat,CREDIT CARD,Technical Error
TXN61296,01-05-2025,1759,SUCCESS,HIN8,HRNagar,Gujarat,DEBIT CARD,
TXN41791,01-05-2025,6138,SUCCESS,HIN8,HRNagar,Gujarat,DEBIT CARD,
TXN97613,02-05-2025,2654,SUCCESS,HIN5,HRNagar,Gujarat,CREDIT CARD,
TXN69508,02-05-2025,368,SUCCESS,HIN5,HRNagar,Gujarat,CASH,
TXN82359,02-05-2025,9252,SUCCESS,HIN1,HRNagar,Gujarat,DEBIT CARD,
TXN92163,02-05-2025,5321,SUCCESS,HIN7,HRNagar,Gujarat,NEFT,
TXN60120,02-05-2025,664,FAILED,HIN3,HRNagar,Gujarat,CASH,Account Blocked
TXN26494,02-05-2025,2819,SUCCESS,HIN4,HRNagar,Gujarat,NEFT,
TXN32124,02-05-2025,5087,SUCCESS,HIN9,HRNagar,Gujarat,CASH,
TXN21843,03-05-2025,1259,SUCCESS,HIN3,HRNagar,Gujarat,NEFT,
TXN82887,03-05-2025,9295,SUCCESS,HIN2,HRNagar,Gujarat,NEFT,
TXN81825,03-05-2025,1166,SUCCESS,HIN1,HRNagar,Gujarat,CREDIT CARD,
TXN59436,03-05-2025,624,SUCCESS,HIN2,HRNagar,Gujarat,NEFT,
TXN26396,03-05-2025,3560,SUCCESS,HIN8,HRNagar,Gujarat,NEFT,
TXN73947,03-05-2025,4354,SUCCESS,HIN9,HRNagar,Gujarat,NEFT,
TXN14059,03-05-2025,1236,SUCCESS,HIN9,HRNagar,Gujarat,CASH,
TXN65139,04-05-2025,8462,SUCCESS,HIN3,HRNagar,Gujarat,CASH,
TXN40453,04-05-2025,6446,FAILED,HIN4,HRNagar,Gujarat,CASH,Network Timeout
TXN68800,04-05-2025,7154,SUCCESS,HIN7,HRNagar,Gujarat,CASH,
TXN78782,04-05-2025,1012,SUCCESS,HIN8,HRNagar,Gujarat,CREDIT CARD,
TXN35938,04-05-2025,8631,FAILED,HIN6,HRNagar,Gujarat,DEBIT CARD,Account Blocked
TXN17693,04-05-2025,1997,SUCCESS,HIN4,HRNagar,Gujarat,NEFT,
TXN76072,04-05-2025,3384,SUCCESS,HIN5,HRNagar,Gujarat,CREDIT CARD,
TXN77087,05-05-2025,8147,SUCCESS,HIN1,HRNagar,Gujarat,CREDIT CARD,
TXN73216,05-05-2025,8932,SUCCESS,HIN3,HRNagar,Gujarat,CASH,
TXN39846,05-05-2025,9667,FAILED,HIN1,HRNagar,Gujarat,NEFT,Invalid Account Number
TXN19235,05-05-2025,1267,SUCCESS,HIN1,HRNagar,Gujarat,NEFT,
TXN58072,05-05-2025,8009,SUCCESS,HIN5,HRNagar,Gujarat,DEBIT CARD,
TXN80494,05-05-2025,1409,SUCCESS,HIN4,HRNagar,Gujarat,CASH,
TXN54365,05-05-2025,7205,FAILED,HIN9,HRNagar,Gujarat,CASH,Account Blocked
TXN41694,06-05-2025,6832,SUCCESS,HIN1,HRNagar,Gujarat,NEFT,
TXN72319,06-05-2025,4740,SUCCESS,HIN9,HRNagar,Gujarat,DEBIT CARD,
TXN42018,06-05-2025,1316,SUCCESS,HIN3,HRNagar,Gujarat,CREDIT CARD,
TXN25426,06-05-2025,8629,SUCCESS,HIN9,HRNagar,Gujarat,CREDIT CARD,
TXN82212,06-05-2025,9769,SUCCESS,HIN3,HRNagar,Gujarat,CASH,
TXN23646,06-05-2025,3491,SUCCESS,HIN4,HRNagar,Gujarat,CASH,
TXN22019,06-05-2025,3596,SUCCESS,HIN4,HRNagar,Gujarat,CASH,
TXN39563,07-05-2025,8409,FAILED,HIN1,HRNagar,Gujarat,NEFT,Insufficient Funds
TXN10492,07-05-2025,838,SUCCESS,HIN4,HRNagar,Gujarat,NEFT,
TXN70650,07-05-2025,8724,SUCCESS,HIN5,HRNagar,Gujarat,CASH,
TXN26477,07-05-2025,5942,FAILED,HIN2,HRNagar,Gujarat,DEBIT CARD,Invalid Account Number
TXN38654,07-05-2025,9109,SUCCESS,HIN2,HRNagar,Gujarat,NEFT,
TXN96778,07-05-2025,8548,SUCCESS,HIN4,HRNagar,Gujarat,DEBIT CARD,
TXN96892,07-05-2025,2549,SUCCESS,HIN5,HRNagar,Gujarat,NEFT,
