TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN76258,01-05-2025,4230,FAILED,TAM2,Tanuku,Hyderabad,CREDIT CARD,Account Blocked
TXN90157,01-05-2025,2913,SUCCESS,TAM4,Tanuku,Hyderabad,NEFT,
TXN41265,01-05-2025,4793,SUCCESS,TAM1,Tanuku,Hyderabad,DEBIT CARD,
TXN71109,01-05-2025,473,FAILED,TAM9,Tanuku,Hyderabad,CASH,Exceeded Limit
TXN63509,01-05-2025,7759,SUCCESS,TAM5,Tanuku,Hyderabad,CASH,
TXN74071,01-05-2025,7181,SUCCESS,TAM8,Tanuku,Hyderabad,CREDIT CARD,
TXN85104,01-05-2025,4948,SUCCESS,TAM9,Tanuku,Hyderabad,CASH,
TXN46058,02-05-2025,1446,FAILED,TAM3,Tanuku,Hyderabad,NEFT,Invalid Account Number
TXN12329,02-05-2025,5556,SUCCESS,TAM8,Tanuku,Hyderabad,CASH,
TXN45269,02-05-2025,4719,SUCCESS,TAM4,Tanuku,Hyderabad,DEBIT CARD,
TXN90411,02-05-2025,3294,FAILED,TAM8,Tanuku,Hyderabad,CREDIT CARD,Account Blocked
TXN72449,02-05-2025,5083,FAILED,TAM1,Tanuku,Hyderabad,CASH,Technical Error
TXN48739,02-05-2025,2159,SUCCESS,TAM9,Tanuku,Hyderabad,NEFT,
TXN78151,02-05-2025,6837,SUCCESS,TAM9,Tanuku,Hyderabad,CASH,
TXN60411,03-05-2025,4646,FAILED,TAM7,Tanuku,Hyderabad,NEFT,Technical Error
TXN39879,03-05-2025,9346,SUCCESS,TAM4,Tanuku,Hyderabad,CASH,
TXN77448,03-05-2025,6920,SUCCESS,TAM5,Tanuku,Hyderabad,CREDIT CARD,
TXN41182,03-05-2025,131,SUCCESS,TAM6,Tanuku,Hyderabad,CASH,
TXN31061,03-05-2025,1914,SUCCESS,TAM9,Tanuku,Hyderabad,CASH,
TXN46054,03-05-2025,6549,FAILED,TAM4,Tanuku,Hyderabad,CREDIT CARD,Technical Error
TXN22858,03-05-2025,9455,SUCCESS,TAM8,Tanuku,Hyderabad,NEFT,
TXN33410,04-05-2025,2040,FAILED,TAM1,Tanuku,Hyderabad,NEFT,Invalid Account Number
TXN32467,04-05-2025,4778,SUCCESS,TAM9,Tanuku,Hyderabad,CREDIT CARD,
TXN75953,04-05-2025,2373,FAILED,TAM4,Tanuku,Hyderabad,NEFT,Technical Error
TXN40409,04-05-2025,7613,SUCCESS,TAM6,Tanuku,Hyderabad,CREDIT CARD,
TXN12434,04-05-2025,6906,FAILED,TAM4,Tanuku,Hyderabad,CREDIT CARD,Invalid Account Number
TXN90862,04-05-2025,5595,SUCCESS,TAM2,Tanuku,Hyderabad,CREDIT CARD,
TXN61980,04-05-2025,4641,SUCCESS,TAM7,Tanuku,Hyderabad,CASH,
TXN78747,05-05-2025,2641,SUCCESS,TAM8,Tanuku,Hyderabad,CASH,
TXN64962,05-05-2025,2466,SUCCESS,TAM9,Tanuku,Hyderabad,CREDIT CARD,
TXN61273,05-05-2025,2718,SUCCESS,TAM1,Tanuku,Hyderabad,DEBIT CARD,
TXN61258,05-05-2025,7174,FAILED,TAM1,Tanuku,Hyderabad,CASH,Invalid Account Number
TXN70452,05-05-2025,8642,SUCCESS,TAM1,Tanuku,Hyderabad,NEFT,
TXN25359,05-05-2025,8531,FAILED,TAM6,Tanuku,Hyderabad,NEFT,Insufficient Funds
TXN73006,05-05-2025,1453,SUCCESS,TAM2,Tanuku,Hyderabad,DEBIT CARD,
TXN68105,06-05-2025,1096,FAILED,TAM7,Tanuku,Hyderabad,CASH,Account Blocked
TXN86358,06-05-2025,8143,FAILED,TAM6,Tanuku,Hyderabad,CASH,Exceeded Limit
TXN80251,06-05-2025,7381,FAILED,TAM1,Tanuku,Hyderabad,CREDIT CARD,Technical Error
TXN66317,06-05-2025,8500,FAILED,TAM5,Tanuku,Hyderabad,CASH,Invalid Account Number
TXN63961,06-05-2025,3170,SUCCESS,TAM8,Tanuku,Hyderabad,CASH,
TXN92731,06-05-2025,8562,SUCCESS,TAM4,Tanuku,Hyderabad,DEBIT CARD,
TXN84646,06-05-2025,6764,FAILED,TAM7,Tanuku,Hyderabad,NEFT,Insufficient Funds
TXN44941,07-05-2025,5240,SUCCESS,TAM3,Tanuku,Hyderabad,CASH,
TXN90829,07-05-2025,9662,SUCCESS,TAM5,Tanuku,Hyderabad,CREDIT CARD,
TXN10582,07-05-2025,2860,SUCCESS,TAM9,Tanuku,Hyderabad,DEBIT CARD,
TXN17057,07-05-2025,9495,SUCCESS,TAM4,Tanuku,Hyderabad,DEBIT CARD,
TXN96900,07-05-2025,3860,SUCCESS,TAM4,Tanuku,Hyderabad,CASH,
TXN83905,07-05-2025,269,SUCCESS,TAM2,Tanuku,Hyderabad,CASH,
TXN54057,07-05-2025,2568,FAILED,TAM1,Tanuku,Hyderabad,DEBIT CARD,Invalid Account Number
