TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN65760,01-05-2025,3495,SUCCESS,BTM9,Bhimavaram,Vizag,NEFT,
TXN70533,01-05-2025,4014,SUCCESS,BTM1,Bhimavaram,Vizag,CREDIT CARD,
TXN51223,01-05-2025,161,SUCCESS,BTM5,Bhimavaram,Vizag,NEFT,
TXN79109,01-05-2025,3050,FAILED,BTM4,Bhimavaram,Vizag,CREDIT CARD,Exceeded Limit
TXN29416,01-05-2025,9676,SUCCESS,BTM3,Bhimavaram,Vizag,NEFT,
TXN17194,01-05-2025,4669,SUCCESS,BTM8,Bhimavaram,Vizag,DEBIT CARD,
TXN37334,01-05-2025,8184,SUCCESS,BTM9,Bhimavaram,Vizag,CREDIT CARD,
TXN42973,02-05-2025,5572,FAILED,BTM7,Bhimavaram,Vizag,CASH,Network Timeout
TXN45836,02-05-2025,3417,SUCCESS,BTM9,Bhimavaram,Vizag,CASH,
TXN65199,02-05-2025,2158,SUCCESS,BTM4,Bhimavaram,Vizag,NEFT,
TXN19632,02-05-2025,8140,SUCCESS,BTM3,Bhimavaram,Vizag,CASH,
TXN69458,02-05-2025,328,SUCCESS,BTM8,Bhimavaram,Vizag,DEBIT CARD,
TXN17592,02-05-2025,7177,SUCCESS,BTM6,Bhimavaram,Vizag,CREDIT CARD,
TXN36675,02-05-2025,7269,SUCCESS,BTM8,Bhimavaram,Vizag,CASH,
TXN34098,03-05-2025,4433,FAILED,BTM2,Bhimavaram,Vizag,DEBIT CARD,Exceeded Limit
TXN90899,03-05-2025,3352,SUCCESS,BTM9,Bhimavaram,Vizag,CREDIT CARD,
TXN67077,03-05-2025,1756,SUCCESS,BTM2,Bhimavaram,Vizag,DEBIT CARD,
TXN45765,03-05-2025,6660,FAILED,BTM5,Bhimavaram,Vizag,CASH,Exceeded Limit
TXN37635,03-05-2025,1743,SUCCESS,BTM9,Bhimavaram,Vizag,DEBIT CARD,
TXN76741,03-05-2025,9145,SUCCESS,BTM3,Bhimavaram,Vizag,CREDIT CARD,
TXN94421,03-05-2025,190,FAILED,BTM8,Bhimavaram,Vizag,CASH,Network Timeout
TXN97909,04-05-2025,2751,SUCCESS,BTM4,Bhimavaram,Vizag,DEBIT CARD,
TXN43203,04-05-2025,3411,SUCCESS,BTM6,Bhimavaram,Vizag,CASH,
TXN40548,04-05-2025,5112,SUCCESS,BTM7,Bhimavaram,Vizag,CREDIT CARD,
TXN63483,04-05-2025,9290,SUCCESS,BTM9,Bhimavaram,Vizag,NEFT,
TXN56834,04-05-2025,2116,SUCCESS,BTM3,Bhimavaram,Vizag,NEFT,
TXN61941,04-05-2025,9564,FAILED,BTM4,Bhimavaram,Vizag,NEFT,Account Blocked
TXN26921,04-05-2025,4439,SUCCESS,BTM9,Bhimavaram,Vizag,NEFT,
TXN43982,05-05-2025,1354,SUCCESS,BTM9,Bhimavaram,Vizag,DEBIT CARD,
TXN45392,05-05-2025,3670,SUCCESS,BTM4,Bhimavaram,Vizag,CREDIT CARD,
TXN76415,05-05-2025,5414,FAILED,BTM5,Bhimavaram,Vizag,CASH,Invalid Account Number
TXN94928,05-05-2025,8210,SUCCESS,BTM3,Bhimavaram,Vizag,CREDIT CARD,
TXN29317,05-05-2025,999,FAILED,BTM4,Bhimavaram,Vizag,CREDIT CARD,Insufficient Funds
TXN52001,05-05-2025,5833,FAILED,BTM8,Bhimavaram,Vizag,CASH,Exceeded Limit
TXN90026,05-05-2025,6687,FAILED,BTM4,Bhimavaram,Vizag,CASH,Insufficient Funds
TXN17364,06-05-2025,4229,SUCCESS,BTM4,Bhimavaram,Vizag,NEFT,
TXN91066,06-05-2025,5406,SUCCESS,BTM1,Bhimavaram,Vizag,CREDIT CARD,
TXN74682,06-05-2025,7678,FAILED,BTM6,Bhimavaram,Vizag,CASH,Network Timeout
TXN16870,06-05-2025,5771,SUCCESS,BTM2,Bhimavaram,Vizag,CASH,
TXN30635,06-05-2025,1864,FAILED,BTM7,Bhimavaram,Vizag,CREDIT CARD,Invalid Account Number
TXN50275,06-05-2025,314,SUCCESS,BTM4,Bhimavaram,Vizag,NEFT,
TXN40354,06-05-2025,5495,SUCCESS,BTM8,Bhimavaram,Vizag,CREDIT CARD,
TXN51106,07-05-2025,3447,SUCCESS,BTM2,Bhimavaram,Vizag,CREDIT CARD,
TXN87371,07-05-2025,8430,FAILED,BTM6,Bhimavaram,Vizag,DEBIT CARD,Network Timeout
TXN64931,07-05-2025,2873,SUCCESS,BTM2,Bhimavaram,Vizag,DEBIT CARD,
TXN27266,07-05-2025,2504,SUCCESS,BTM3,Bhimavaram,Vizag,DEBIT CARD,
TXN54275,07-05-2025,444,SUCCESS,BTM7,Bhimavaram,Vizag,CASH,
TXN26062,07-05-2025,4783,SUCCESS,BTM8,Bhimavaram,Vizag,NEFT,
TXN67092,07-05-2025,4742,FAILED,BTM6,Bhimavaram,Vizag,CASH,Technical Error
